PresetParser,PluginId,ProgramName,BankPath,Hash,LastUpdated
Audiority_Distortion1,1194668340,Crunchy,00 - Factory,xw6NZQ==,
Audiority_EchoesT7E,1231909489,Hey Ya,00 - Factory/02 - Vari,4J6sEw==,
Audiority_FreeMod,1316253289,Phantom Menace,00 - Factory,1LhgcA==,
Audiority_GrainSpace,1097090899,Static Noise v2,00 - Factory,9A1d4A==,
Audiority_HarmonicMaximizer,1097091149,Colored Mix,00 - Factory,14Eq3A==,
Audiority_Polaris,1466513515,Varispeed,00 - Factory/ECHO,TtBnvA==,
Audiority_Pre7X,1350064183,Bright Vox,00 - Factory,M6kEoA==,
Audiority_TheAbuser,1631745363,09 Fired Coil,00 - Factory,JbzWPQ==,
Audiority_TheAbuser,1631745363,Hot Rectifier,00 - Factory,9XSSOg==,
Audiority_TS1TransientShaper,1332836457,02 - More Ambience,Factory,8bLwDw==,
Audiority_TubeModulator,1148872802,Brownface Max,00 - Factory/01 - Tube Tremolo,WxX3Nw==,
Audiority_XenoVerb,1199076962,Dark Plate,00 - Factory/03 - PLATE 1,Ya7F5Q==,
AudioThing_Filterjam,1179279725,Mud,Factory,5KCkZA==,2019-02-08 22:57:44                   
AudioThing_FogConvolver,1716479811,Soviet Drum Machine (kick 1),Factory,7FxyAw==,
AudioThing_Frostbite,1181905730,11 - Monsters,Factory,sDd5Jw==,2019-02-08 22:57:44         
AudioThing_HandClapper,1212363341,08 - Randomness,Factory,zZuc9g==,2019-02-08 22:57:44     
AudioThing_HATS,1212240979,Chiptune Impact,Factory,4y/UPQ==,2019-02-08 22:57:44            
AudioThing_LatinPercussion,1819293752,06 - Moving Sun,Factory,CawyHg==,2019-02-08 22:57:44 
AudioThing_Megaphone,1298485352,05 - Back Voice,Factory,GGrjKw==,2019-02-08 22:57:44       
AudioThing_miniBit,1833525876,Classic Cymbal,Drums,BE6oiQ==,2019-02-08 22:57:44            
AudioThing_miniBitCM,1833525827,[BASS]-DeepThroat,Factory,MhMc7A==,2019-02-08 22:57:44     
AudioThing_miniVerb,1835947634,Density RM,Factory/SFX,GwETDg==,2019-02-08 22:57:44         
AudioThing_OuterSpace,1330934608,DustDelay SJA,Supremeja,BtK3OQ==,2019-02-08 22:57:44      
AudioThing_PhaseMotionV2,1884122930,22 - In The Mood,Factory,IHAN/A==,2019-02-08 22:57:44  
AudioThing_Reels,1884582467,Bad Echo,Factory/Echo,KKP4eA==,2019-02-08 22:57:44             
AudioThing_SpaceStrip,1397781364,08 - Scanners,Factory,lJdaRQ==,2019-02-08 22:57:44        
AudioThing_Speaker,1934650226,Extra Speaker,Factory,Z8Bs3w==,2019-02-08 22:57:44           
AudioThing_SR88,1397897272,13 - West Coast,Factory,7XCSJg==,2019-02-08 22:57:44            
AudioThing_TheOrb,1951355458,For A Spin,Factory,/JYrSg==,2019-02-08 22:57:44               
AudioThing_TypeA,1954107457,Submarine,Factory,RoGYjw==,2019-02-08 22:57:44                 
AudioThing_ValveExciter,1165513842,01 - Default,Factory,C7jprg==,2019-02-08 22:57:44       
AudioThing_ValveFilterVF1,1449940582,05 - Harsh,Factory,1RgXYA==,2019-02-08 22:57:44       
AudioThing_VinylStrip,1450791794,04 - Vintage Record,Factory,htb+fA==,2019-02-08 22:57:44  
AudioThing_WaveBox,1467368056,11 - Pulse Side,Factory,gJVJlA==,2019-02-08 22:57:44         
D16_PunchBox,1347306072,Deeper 1,Factory,9w0Pfw==,
D16_Repeater,1380988728,Lay It Down,Factory,HUl0Vg==,
DmitrySches_Thorn,1416122990,PLUCK Singer,Lead,zG4EFw==,
DmitrySches_ThornCM,1416122947,PAD Neutrino,Pad,ZSenQw==,
HumanoidSoundSystems_Enzyme,1162762841,BASS_Big Haas,Factory,yFPKWw==,
ImageLine_Drumaxx,1145918257,70s Beats FG,Acoustic,61mXPw==,
ImageLine_Hardcore,1212371505,Too Effected FG,Default,KS7z+Q==,
ImageLine_Morphine,1299149382,SFX Break The Static (MW) FG,(10) SFX,l5WY8g==,
ImageLine_Poizone,1398896471,LED Blunt And Honest,Xenos Soundworks,L92aAQ==,
ImageLine_Sakura,1398893394,SYNTH Water Slide DS,Eastern Dreams Bank,9mEN+Q==,
ImageLine_Sawer,1398888274,PD Warm Pad,Xenos Sawer Volume 1,iE+mYA==,
ImageLine_ToxicBiohazard,1416591412,Beauty ToTc,Pads,w2ToHA==,
MeldaProduction_MAmp,1296133488,Step sequencer - Mid & High,Factory,66CgSA==                                          ,
MeldaProduction_MAnalyzer,1296131426,Compare to trip-hop (psycho-acoustic),Factory,z8ZBTw==                           ,
MeldaProduction_MAutoAlign,1296122209,Saxophone,Factory,uVu6WQ==                                                      ,
MeldaProduction_MAutoDynamicEq,1298430273,Bass drum control,Factory,kxXkMQ==                                          ,
MeldaProduction_MAutopan,1296131376,Sky-high thunderflash,Factory,YFegPg==                                            ,
MeldaProduction_MAutopanMB,1735931700,And 1,Factory/Keyboards & Guitars,dIIWcw==                                      ,
MeldaProduction_MAutoPitch,1298232660,Default,Factory,gZtgmQ==                                                        ,
MeldaProduction_MBandPass,1296195904,Sine 1/8 (low-pass),Factory,oImWng==                                             ,
MeldaProduction_MBassador,1296195955,Powerful,Factory/Drums,V5QcRg==                                                  ,
MeldaProduction_MBitFun,1296197958,Gonorrhoea bys,Factory,QW91mw==                                                    ,
MeldaProduction_MBitFunMB,1298285126,Gossamer nauseous,Factory/Single-band,9RU7vw==                                   ,
MeldaProduction_MChannelMatrix,1296263245,Left from sidechain,Factory,XLAreg==                                        ,
MeldaProduction_MCharacter,1296263282,0,Factory/Randomizer Multi,MkKNlg==                                             ,
MeldaProduction_MChorusMB,1296917352,Close Intensive 2,Factory/Zentralmassiv WIP,oCXQug==                             ,
MeldaProduction_MComb,1296265069,Hampstead scleroses,Factory/Resonators,MAkVuA==                                      ,
MeldaProduction_MCombMB,1296909167,Self-denying ell,Factory/6 bands,ktljLw==                                          ,
MeldaProduction_MCompressor,1296131377,De-essing,Factory,jYqvbQ==                                                     ,
MeldaProduction_MConvolutionEZ,1296262522,Tiled room,Factory,H1FdEQ==                                                 ,
MeldaProduction_MConvolutionMB,1296909135,5m (true-stereo),Factory/Room,/Oa/Ng==                                      ,
MeldaProduction_MDelayMB,1735931701,Pentathlon dunderhead,Factory,4gvdnw==                                            ,
MeldaProduction_MDistortionMB,1298426227,Mentalized,Factory/Multiband,MKTShw==                                        ,
MeldaProduction_MDrumEnhancer,1296319854,Acoustic 10,Factory/Snare drum,jVLM7Q==                                      ,
MeldaProduction_MDrumLeveler,1296331340,Low-latency - Tom,Factory,WhE+3Q==                                            ,
MeldaProduction_MDrummer,1296323149,Reggae,Factory/Jam,W5vDbw==                                                       ,
MeldaProduction_MDrummer,1296323126,Salsa,Factory/Percussion,rDy64w==                                                 ,
MeldaProduction_MDrummer,1296323121,Funk straight,Factory/Acoustic,ep8Z7w==                                           ,
MeldaProduction_MDynamicEQ,1298430289,Master enhancer (aggressive),Factory,U3bZiA==                                   ,
MeldaProduction_MDynamics,1296131364,Limiting (smooth),Factory,1uGjRg==                                               ,
MeldaProduction_MDynamicsMB,1296131368,Master - Punk Rock,Factory,RKLFdA==                                            ,
