ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.PATCH.AMP.AMP SUSTAIN,6291538,2,109,2,int,2,4,"0,255",255
fm.PATCH.AMP.AMP RELEASE,6291540,2,111,2,int,2,4,"0,255",0
fm.PATCH.AMP.AMP TONE,6291542,2,113,2,int,2,4,"0,255",128
fm.PATCH.EFX.EFX CRUSHER,6291544,2,115,2,int,2,4,"0,255",0
fm.PATCH.EFX.EFX REVERB LEVEL,6291546,2,117,2,int,2,4,"0,255",0
fm.PATCH.EFX.EFX DELAY LEVEL,6291548,2,119,2,int,2,4,"0,255",0
fm.PATCH.EFX.EFX DELAY TIME,6291550,2,121,2,int,2,4,"0,255",0
fm.PATCH.CTRL.PORTA TIME,6291552,2,123,2,int,2,4,"0,255",0
fm.PATCH.CTRL.PORTA MODE,6291554,2,125,2,int,2,4,"0,1",0
fm.PATCH.CTRL.MONO SW,6291556,2,127,2,int,2,4,"0,2",0
fm.PATCH.CTRL.BEND RANGE,6291558,2,129,2,int,2,4,"0,23",1
fm.PATCH.CTRL.MOD ASIGN,6291560,2,131,2,int,2,4,"0,127",0
fm.PATCH.CTRL.TEMPO SYNC,6291562,2,133,2,int,2,4,"0,1",0
fm.PATCH.EXTEND.MOD ID 1,6291564,2,135,2,int,2,4,"0,255",0
fm.PATCH.EXTEND.MOD ID 2,6291566,2,137,2,int,2,4,"0,255",0
fm.PATCH.EXTEND.MOD ID 3,6291568,2,139,2,int,2,4,"0,255",0
fm.PATCH.EXTEND.MOD PRM 1,6291570,2,141,2,int,2,4,"0,255",0
fm.PATCH.EXTEND.MOD PRM 2,6291572,2,143,2,int,2,4,"0,255",0
fm.PATCH.EXTEND.MOD PRM 3,6291574,2,145,2,int,2,4,"0,255",0
fm.PATCH.EXTEND.PATCH LEVEL,6291576,2,147,2,int,2,4,"0,255",128
fm.PATCH.EXTEND.PATCH LEVEL SW,6291578,2,149,2,int,2,4,"0,1",1
fm.PATCH.EXTEND.OSC1 EXTEND,6291580,2,151,2,int,2,4,"0,1",0
fm.PATCH.EXTEND.OSC2 EXTEND,6291582,2,153,2,int,2,4,"0,1",0
fm.PATCH.NAME0.name,6291584,4,155,4,int,4,4,,
fm.PATCH.NAME0.name,6291588,4,159,4,int,4,4,,
fm.PATCH.NAME0.name,6291592,4,163,4,int,4,4,,
fm.PATCH.NAME0.name,6291596,4,167,4,int,4,4,,
fm.PATCH.NAME0.name,6291600,4,171,4,int,4,4,,
fm.PATCH.NAME0.name,6291604,4,175,4,int,4,4,,
fm.PATCH.NAME0.name,6291608,4,179,4,int,4,4,,
fm.PATCH.NAME0.name,6291612,4,183,4,int,4,4,,
fm.PATCH.NAME0.name,6291584,32,155,32,string,2,4,,----------------
fm.PATCH.NAME1.INPUT JACK USING (SYSTEM1m),6291712,8,283,8,int,8,4,"0,65535",0
fm.PATCH.NAME1.ARPEGGIO,6291720,8,291,8,int,8,4,"0,1",0
fm.PATCH.NAME1.ARP TYPE,6291728,8,299,8,int,8,4,"0,5",0
fm.PATCH.NAME1.ARP STEP,6291736,8,307,8,int,8,4,"0,5",0
fm.PATCH.NAME1.SCATTER TYPE,6291744,8,315,8,int,8,4,"0,9",0
fm.PATCH.NAME1.SCATTER DEPTH,6291752,8,323,8,int,8,4,"-5,5",0
fm.PATCH.NAME1.OCTAVE,6291760,8,331,8,int,8,4,"-3,3",0
fm.PATCH.NAME1.KEY HOLD,6291768,8,339,8,int,8,4,"0,1",0
fm.PATCH.NAME1.EXTEND PRM01 for PLUGOUT,6291776,8,347,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME1.EXTEND PRM02 for PLUGOUT,6291784,8,355,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME1.EXTEND PRM03 for PLUGOUT,6291792,8,363,8,int,8,4,"0,2147483647",0
