ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.usr3X.SEQ_STEP12._reserve_,151021748,8,28070,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP12._reserve_,151021756,8,28078,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP12._reserve_,151021764,8,28086,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP12._reserve_,151021772,8,28094,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP12._reserve_,151021780,8,28102,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP12._reserve_,151021788,8,28110,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP12._reserve_,151021796,8,28118,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP13.STEP SEQ Note (voice 1),151023616,1,28126,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP13.STEP SEQ Note (voice 2),151023617,1,28127,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP13.STEP SEQ Note (voice 3),151023618,1,28128,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP13.STEP SEQ Note (voice 4),151023619,1,28129,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP13.STEP SEQ Note (voice 5),151023620,1,28130,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP13.STEP SEQ Note (voice 6),151023621,1,28131,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP13.STEP SEQ Note (voice 7),151023622,1,28132,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP13.STEP SEQ Note (voice 8),151023623,1,28133,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP13.STEP SEQ Velo (voice 1),151023624,1,28134,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP13.STEP SEQ Velo (voice 2),151023625,1,28135,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP13.STEP SEQ Velo (voice 3),151023626,1,28136,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP13.STEP SEQ Velo (voice 4),151023627,1,28137,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP13.STEP SEQ Velo (voice 5),151023628,1,28138,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP13.STEP SEQ Velo (voice 6),151023629,1,28139,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP13.STEP SEQ Velo (voice 7),151023630,1,28140,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP13.STEP SEQ Velo (voice 8),151023631,1,28141,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP13.STEP SEQ Gate (voice 1),151023632,1,28142,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP13.STEP SEQ Gate (voice 2),151023633,1,28143,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP13.STEP SEQ Gate (voice 3),151023634,1,28144,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP13.STEP SEQ Gate (voice 4),151023635,1,28145,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP13.STEP SEQ Gate (voice 5),151023636,1,28146,1,int,1,7,"0,99",49
